Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,967534,-,-,-,38.05,-84.5,-5,290,-5,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,,3.2.0
Year,Month,Day,Hour,Minute,Dew Point,DHI,DNI,GHI,Surface Albedo,Pressure,Temperature,Wind Direction,Wind Speed,,,,,,
2015,1,1,0,30,-7,0,0,0,0.14,990,-4,238,2,,,,,,
2015,1,1,1,30,-7,0,0,0,0.14,990,-5,233,1.8,,,,,,
2015,1,1,2,30,-7,0,0,0,0.14,990,-5,229,1.8,,,,,,
2015,1,1,3,30,-7,0,0,0,0.14,990,-5,228,1.7000000000000002,,,,,,
2015,1,1,4,30,-7,0,0,0,0.14,990,-5,225,1.6,,,,,,
2015,1,1,5,30,-7,0,0,0,0.14,990,-6,222,1.5,,,,,,
2015,1,1,6,30,-7,0,0,0,0.14,990,-6,217,1.5,,,,,,
2015,1,1,7,30,-7,0,0,0,0.14,980,-5,217,1.9000000000000001,,,,,,
2015,1,1,8,30,-7,9,0,9,0.14,980,-4,216,2.7,,,,,,
2015,1,1,9,30,-7,69,0,69,0.14,990,-2,218,3.6,,,,,,
2015,1,1,10,30,-7,148,43,164,0.14,980,0,230,4.5,,,,,,
2015,1,1,11,30,-6,196,216,293,0.14,980,0,236,5,,,,,,
2015,1,1,12,30,-6,149,555,418,0.14,980,1,237,5.300000000000001,,,,,,
2015,1,1,13,30,-5,93,818,477,0.14,980,2,239,5.2,,,,,,
2015,1,1,14,30,-4,90,756,397,0.14,980,2,241,4.9,,,,,,
2015,1,1,15,30,-4,108,319,203,0.14,980,1,242,4.2,,,,,,
2015,1,1,16,30,-3,60,109,77,0.14,980,0,242,3.5,,,,,,
2015,1,1,17,30,-3,0,0,0,0.14,980,0,238,3.2,,,,,,
2015,1,1,18,30,-2,0,0,0,0.14,980,0,235,3.1,,,,,,
2015,1,1,19,30,-2,0,0,0,0.14,980,0,233,3.1,,,,,,
2015,1,1,20,30,-2,0,0,0,0.14,980,0,232,3,,,,,,
2015,1,1,21,30,-2,0,0,0,0.14,980,0,234,2.7,,,,,,
2015,1,1,22,30,-2,0,0,0,0.14,980,0,234,2.4000000000000004,,,,,,
2015,1,1,23,30,-2,0,0,0,0.14,980,0,232,2.2,,,,,,
2015,1,2,0,30,-2,0,0,0,0.14,980,0,236,2.3000000000000003,,,,,,
2015,1,2,1,30,-2,0,0,0,0.14,980,0,243,2.2,,,,,,
2015,1,2,2,30,-1,0,0,0,0.14,980,0,246,1.8,,,,,,
2015,1,2,3,30,-1,0,0,0,0.14,980,0,247,1.4000000000000001,,,,,,
2015,1,2,4,30,0,0,0,0,0.14,980,0,248,1.2000000000000002,,,,,,
2015,1,2,5,30,0,0,0,0,0.14,980,0,252,1.3,,,,,,
2015,1,2,6,30,0,0,0,0,0.14,990,0,256,1.2000000000000002,,,,,,
2015,1,2,7,30,0,0,0,0,0.14,990,0,266,1,,,,,,
2015,1,2,8,30,0,7,0,7,0.14,990,0,285,0.8,,,,,,
2015,1,2,9,30,0,54,0,54,0.14,990,0,303,0.8,,,,,,
2015,1,2,10,30,0,82,0,82,0.14,990,1,268,0.9,,,,,,
2015,1,2,11,30,0,79,0,79,0.14,990,1,246,0.9,,,,,,
2015,1,2,12,30,0,119,0,119,0.14,990,1,261,0.6000000000000001,,,,,,
2015,1,2,13,30,0,126,0,126,0.14,990,1,274,0.4,,,,,,
2015,1,2,14,30,0,112,0,112,0.14,990,2,192,0.6000000000000001,,,,,,
2015,1,2,15,30,0,75,0,75,0.14,990,1,176,0.8,,,,,,
2015,1,2,16,30,0,48,0,48,0.14,990,0,167,0.8,,,,,,
2015,1,2,17,30,0,0,0,0,0.14,990,0,144,0.9,,,,,,
2015,1,2,18,30,0,0,0,0,0.14,990,0,124,1,,,,,,
2015,1,2,19,30,0,0,0,0,0.14,990,0,105,1.2000000000000002,,,,,,
2015,1,2,20,30,0,0,0,0,0.14,990,0,96,1.4000000000000001,,,,,,
2015,1,2,21,30,0,0,0,0,0.14,980,0,108,1.6,,,,,,
2015,1,2,22,30,0,0,0,0,0.14,980,0,117,1.8,,,,,,
2015,1,2,23,30,0,0,0,0,0.14,980,0,120,2,,,,,,
2015,1,3,0,30,0,0,0,0,0.14,980,0,119,1.9000000000000001,,,,,,
2015,1,3,1,30,0,0,0,0,0.14,980,0,117,1.8,,,,,,
2015,1,3,2,30,0,0,0,0,0.14,980,0,119,1.7000000000000002,,,,,,
2015,1,3,3,30,0,0,0,0,0.14,980,1,115,1.6,,,,,,
2015,1,3,4,30,1,0,0,0,0.14,980,1,118,1.5,,,,,,
2015,1,3,5,30,1,0,0,0,0.14,980,1,148,1.7000000000000002,,,,,,
2015,1,3,6,30,2,0,0,0,0.14,980,2,174,2.3000000000000003,,,,,,
2015,1,3,7,30,2,0,0,0,0.14,980,3,186,2.7,,,,,,
2015,1,3,8,30,4,21,0,21,0.14,980,5,189,3,,,,,,
2015,1,3,9,30,6,29,0,29,0.14,980,6,185,3.3000000000000003,,,,,,
2015,1,3,10,30,7,40,0,40,0.14,980,7,170,3.7,,,,,,
2015,1,3,11,30,8,167,15,174,0.14,980,9,160,4.5,,,,,,
2015,1,3,12,30,9,203,47,227,0.14,970,10,168,5,,,,,,
2015,1,3,13,30,10,96,0,96,0.14,970,11,180,4.9,,,,,,
2015,1,3,14,30,9,64,0,64,0.14,970,10,186,4.2,,,,,,
2015,1,3,15,30,9,26,0,26,0.14,970,10,187,4,,,,,,
2015,1,3,16,30,9,33,0,33,0.14,970,10,185,4.1000000000000005,,,,,,
2015,1,3,17,30,9,0,0,0,0.14,970,10,188,3.8000000000000003,,,,,,
2015,1,3,18,30,11,0,0,0,0.14,970,10,193,4,,,,,,
2015,1,3,19,30,11,0,0,0,0.14,970,11,198,3.8000000000000003,,,,,,
2015,1,3,20,30,11,0,0,0,0.14,970,11,194,3.1,,,,,,
2015,1,3,21,30,11,0,0,0,0.14,970,11,191,3.2,,,,,,
2015,1,3,22,30,11,0,0,0,0.14,970,11,196,3.6,,,,,,
2015,1,3,23,30,11,0,0,0,0.14,970,11,202,3.4000000000000004,,,,,,
2015,1,4,0,30,9,0,0,0,0.14,970,10,185,2.6,,,,,,
2015,1,4,1,30,9,0,0,0,0.14,970,10,168,2.5,,,,,,
2015,1,4,2,30,11,0,0,0,0.14,970,11,162,3.6,,,,,,
2015,1,4,3,30,12,0,0,0,0.14,970,13,183,5.9,,,,,,
2015,1,4,4,30,13,0,0,0,0.14,970,13,222,7.2,,,,,,
2015,1,4,5,30,11,0,0,0,0.14,970,12,233,6.5,,,,,,
2015,1,4,6,30,11,0,0,0,0.14,970,11,239,6,,,,,,
2015,1,4,7,30,9,0,0,0,0.14,970,9,248,5.800000000000001,,,,,,
2015,1,4,8,30,7,33,209,51,0.14,970,8,252,5.6000000000000005,,,,,,
2015,1,4,9,30,6,84,332,166,0.14,970,8,253,5.4,,,,,,
2015,1,4,10,30,5,149,46,166,0.14,970,8,252,5.5,,,,,,
2015,1,4,11,30,5,42,0,42,0.14,970,8,255,5.800000000000001,,,,,,
2015,1,4,12,30,4,77,0,77,0.14,970,7,262,6.1000000000000005,,,,,,
2015,1,4,13,30,3,107,0,107,0.14,980,7,267,6.300000000000001,,,,,,
2015,1,4,14,30,2,55,0,55,0.14,980,6,272,6.300000000000001,,,,,,
2015,1,4,15,30,1,51,0,51,0.14,980,4,276,6.1000000000000005,,,,,,
2015,1,4,16,30,1,68,282,114,0.14,980,3,278,5.7,,,,,,
2015,1,4,17,30,0,0,0,0,0.14,980,1,280,5.2,,,,,,
2015,1,4,18,30,-1,0,0,0,0.14,980,0,283,4.9,,,,,,
2015,1,4,19,30,-3,0,0,0,0.14,990,0,284,5,,,,,,
2015,1,4,20,30,-4,0,0,0,0.14,990,-1,285,5.1000000000000005,,,,,,
2015,1,4,21,30,-6,0,0,0,0.14,990,-2,287,4.9,,,,,,
2015,1,4,22,30,-7,0,0,0,0.14,990,-3,286,4.6000000000000005,,,,,,
2015,1,4,23,30,-8,0,0,0,0.14,990,-4,286,4.5,,,,,,
2015,1,5,0,30,-9,0,0,0,0.14,990,-5,289,4.4,,,,,,
2015,1,5,1,30,-9,0,0,0,0.14,990,-6,290,4.3,,,,,,
2015,1,5,2,30,-10,0,0,0,0.14,990,-6,292,4.1000000000000005,,,,,,
2015,1,5,3,30,-11,0,0,0,0.14,990,-7,294,4.1000000000000005,,,,,,
2015,1,5,4,30,-11,0,0,0,0.14,990,-7,296,4,,,,,,
2015,1,5,5,30,-12,0,0,0,0.14,990,-8,298,3.8000000000000003,,,,,,
2015,1,5,6,30,-13,0,0,0,0.14,990,-8,299,3.5,,,,,,
2015,1,5,7,30,-14,0,0,0,0.14,1000,-8,298,3.5,,,,,,
2015,1,5,8,30,-14,25,495,69,0.14,1000,-7,298,3.7,,,,,,
2015,1,5,9,30,-14,47,764,235,0.14,1000,-6,300,3.9000000000000004,,,,,,
2015,1,5,10,30,-14,59,870,381,0.14,1000,-5,300,3.8000000000000003,,,,,,
2015,1,5,11,30,-14,66,918,482,0.14,1000,-4,301,3.7,,,,,,
2015,1,5,12,30,-13,68,934,525,0.14,1000,-3,296,3.5,,,,,,
